label,location,date,value,group
Gucci,75,2012,2,Gucci (+2)
Gucci,75,2011,3,Gucci (+2)
Gucci,75,2017,9,Gucci (+2)
Gucci,93,2018,12,Gucci (+2)
Gucci,93,2013,2,Gucci (+2)
Gucci,34,2013,2,Gucci (+2)
Gucci,31,2020,2,Gucci (+2)
Gucci,31,2016,1,Gucci (+2)
Gucci,92,2010,1,Gucci (+2)
Gucci,92,2016,3,Gucci (+2)
Gucci,76,2004,1,Gucci (+2)
Gucci,25,2014,1,Gucci (+2)
Gucci,25,2019,1,Gucci (+2)
Gucci,25,2012,1,Gucci (+2)
Gucci,25,2017,2,Gucci (+2)
Gucci,78,2015,1,Gucci (+2)
Gucci,94,2015,3,Gucci (+2)
Gucci,35,2018,3,Gucci (+2)
Gucci,35,2014,1,Gucci (+2)
Gucci,1,2019,1,Gucci (+2)
Gucci,35,2015,1,Gucci (+2)
Gucci,35,2017,1,Gucci (+2)
Gucci,35,2016,2,Gucci (+2)
Gucci,94,2016,3,Gucci (+2)
Gucci,31,2004,1,Gucci (+2)
Gucci,92,2017,2,Gucci (+2)
Gucci,34,2012,2,Gucci (+2)
Gucci,93,2016,8,Gucci (+2)
Gucci,93,2010,3,Gucci (+2)
Gucci,91,2009,1,Gucci (+2)
Gucci,93,2020,3,Gucci (+2)
Gucci,13,2018,3,Gucci (+2)
Gucci,77,2019,1,Gucci (+2)
Gucci,77,2020,2,Gucci (+2)
Gucci,69,2020,2,Gucci (+2)
Gucci,13,2019,7,Gucci (+2)
Gucci,78,2017,2,Gucci (+2)
Gucci,69,2016,5,Gucci (+2)
Gucci,94,2019,8,Gucci (+2)
Gucci,59,2019,2,Gucci (+2)
Gucci,59,2015,1,Gucci (+2)
Gucci,78,2012,2,Gucci (+2)
Gucci,33,2018,1,Gucci (+2)
Gucci,75,2014,8,Gucci (+2)
Gucci,75,2010,2,Gucci (+2)
Gucci,54,2017,1,Gucci (+2)
Gucci,44,2018,1,Gucci (+2)
Gucci,92,2003,1,Gucci (+2)
Gucci,83,2018,1,Gucci (+2)
Gucci,93,2012,4,Gucci (+2)
Gucci,13,2013,1,Gucci (+2)
Gucci,6,2019,1,Gucci (+2)
Gucci,13,2016,2,Gucci (+2)
